ResponseID,NPS_Score,Overall_Satisfaction,Chat_Quality_Rating,Memory_Rating,Custom_GPTs_Rating,Voice_Mode_Rating,Image_Gen_Rating,Deep_Research_Rating,Model_Picker_Rating,Mobile_App_Rating,What_Dont_You_Like,What_Would_You_Like_Added,General_Comments,User_Type,Subscription_Tier,Primary_Use_Case,Usage_Frequency
1,8,5,3,5,2,2,5,4,3,5,"Chat quality feels inconsistent, especially for writing tasks where I need precise, nuanced responses. Voice Mode is pretty rough, clunky interactions that don't match the quality of typed chats. Custom GPTs have been underwhelming too; building them feels limited compared to what I'd hoped for at the Plus tier.","Better voice mode experience would be HUGE, especially for brainstorming writing projects on the go. More robust Custom GPT builder with better customization depth. Image Gen is fantastic, but I'd love deeper research access without hitting those caps so fast on heavy writing days.","Memory feature is stellar! Mobile app absolutely nails it. My NPS is solid at 8 because the platform delivers real value for my writing workflow, but Chat quality and Voice Mode hold it back from being truly great. The Image Gen and research tools punch above their weight!",Professional,Plus,Writing,Monthly
2,1,4,3,3,4,4,2,4,3,5,Image gen is damn near useless; the quality's 2/5 at best. Also hate that research features are locked behind paid tiers when that's literally my main use case. Free tier caps kill productivity.,"Better image generation tools without upselling me every five seconds. Deeper research access for free users doing actual work, not just toy limits.",Mobile app is solid; voice mode works fine. But the paywall creep is real. Chat quality dips when you're constrained by limitations. Fix the image gen and stop gatekeeping research features.,Professional,Free,Research,Daily
3,9,5,4,4,4,1,5,2,4,5,"Voice Mode feels unpolished and unreliable for my needs. Deep Research often misses critical sources or requires heavy manual verification, which defeats the purpose for research-heavy work.",More robust source attribution in Deep Research results. Voice Mode needs significant stability improvements before it's useful for professional contexts.,Image generation and mobile app are excellent. The Model Picker gives me flexibility I need for varied research tasks. Would recommend Plus to colleagues despite the voice and research limitations.,Professional,Plus,Research,Rarely
4,2,2,3,3,5,3,4,3,1,4,"the model picker is basically useless to me. i'm on free so i can't really pick anything anyway, which kinda defeats the purpose. when i do brainstorm i feel like i'm just guessing which model might work better, and there's no clear way to compare them. also the 3-minute daily limit on advanced stuff feels pretty restrictive when i'm trying to flesh out ideas.","i think it would help if the free tier had clearer guidance on which model to use for different brainstorming scenarios. maybe like suggested pairings or something. and honestly, even a small bump to the advanced time limit would make a difference, or some kind of rollover if i don't use it.",the mobile app is solid and image gen works well for visualizing concepts during brainstorming sessions. custom gpts seem great but i can't make my own which is kinda limiting. the overall experience feels good in spots but somewhat hampered by the paywall placement. i'm mostly sticking around because the free version still does decent work but i'm not sure i'd recommend it to other professionals in my position.,Professional,Free,Brainstorming,Daily
5,5,5,4,5,2,4,5,4,5,5,"Custom GPTs feel not ready. Building them is clunky, performance is inconsistent, and I can't reliably use them for my daily workflows. Also hitting message caps regularly on Plus tier even though I'm paying for it.","Better custom GPT builder with actual debugging tools. Need higher or unlimited message caps for power users, or at least transparent limits upfront. Deep research should be less restricted.","Memory, image gen, and model picker work great. Voice mode solid. But custom GPTs are supposed to be a Plus differentiator and they're not production-ready. Fix that and my NPS goes way up.",Professional,Plus,Productivity,Daily
6,10,5,5,2,3,1,4,5,3,5,"Voice Mode feels unfinished for coding workflows. Memory retention is inconsistent when tracking context across sessions, which matters for complex projects.",Better memory persistence would help maintain coding context between conversations. Custom GPTs need more refinement for technical use cases.,Deep Research and chat quality are exceptional. The mobile app performs well for quick coding tasks. Team tier pricing delivers real value for professional development work.,Professional,Team,Coding,Daily
7,9,4,4,5,4,3,5,4,1,4,"Model Picker is buried and clunky; I need faster access when handling customer issues that need different models. Voice Mode stutters on longer responses, kills real-time support flow.",Quick model switcher in chat header. Better voice stability for sustained conversations. Unlimited deep research or clearer token limits so I stop guessing mid-analysis.,Memory is rock-solid for customer context. Image Gen saves time on support docs. Hit the message cap regularly on Plus though; worth it but would love to see the ceiling raise for power users.,Professional,Plus,Customer-support,Daily
8,7,2,5,4,2,3,5,2,2,5,Model Picker is clunky; I can't easily compare the model vs ChatGPT for my writing drafts. Deep Research caps are frustrating on the free tier. Voice Mode feels sluggish with latency issues.,Better model switching in a single chat thread. Unrestricted Deep Research access even on free; the 3-min Advanced daily limit kills my workflow. Sora access would help visual brainstorming.,Chat quality and image gen are solid. The mobile app handles my weekly writing sessions well. But the tiering feels restrictive; I'm stuck watching features I actually need stay locked behind paywalls.,Professional,Free,Writing,Weekly
9,9,5,2,3,4,1,4,3,3,5,"Voice Mode feels incomplete and unintuitive; the chat quality is inconsistent, especially when working through complex research queries. Memory retention could be stronger for tracking context across weekly sessions. Though Custom GPTs work well, the overall experience has rough edges.","Better voice interaction design with clearer feedback loops. Improved chat consistency for research-heavy workflows. More granular memory controls at the Enterprise tier, since data residency and audit logs are there but memory features lag.","The mobile app is excellent and Deep Research shows promise, though it needs refinement. I recommend it frequently because the core value is solid, yet there's clear room to match Enterprise pricing with matching feature polish, especially for research use cases.",Student,Enterprise,Research,Weekly
10,8,4,3,4,5,2,5,2,1,3,voice mode is pretty rough; the latency kills creative brainstorming sessions where i need quick back-and-forth. model picker being hidden behind toggles is frustrating when i'm testing different versions for image gen workflows. deep research caps out fast and the outputs feel surface-level compared to actual literature review tools i use.,native voice latency improvements or at least transparent routing options. uncapped deep research or integration with arxiv/jstor for creative research projects. better custom gpt distribution controls so i can actually share my templates with collaborators without rebuilding them.,"custom gpts and image gen are solid enough that i keep the plus subscription, but i hit message limits on heavy days which is annoying. the memory feature works when it works. mostly using this for ideation and asset generation in creative sprints; it's fine for that, not transformative.",Professional,Plus,Creative,Rarely
